,PHI,TETA,PSI,X_ECI,Y_ECI,Z_ECI,latitude,longitude,Data,Tempo
338,3.6544437804989354,1.0995574280812823,0.0,-5991.059975518495,-1612.5432230186536,-3187.1618033762993,-26.65561645534756,-178.77117142534615,2022-11-10 18:56:30,3390.0
339,3.6652238506534687,1.0995574280826959,0.0,-5951.951190412985,-1641.9632044823343,-3244.7269480954146,-27.189733489717213,-178.45654045523486,2022-11-10 18:56:40,3400.0
340,3.676003920808002,1.0995574280841098,0.0,-5912.143359450225,-1671.190333327435,-3301.9099589797625,-27.722954460682995,-178.13848521857523,2022-11-10 18:56:50,3410.0
341,3.686783990962533,1.0995574280841103,0.0,-5871.641171110596,-1700.2211806453104,-3358.704109166418,-28.255249734051766,-177.8168990274366,2022-11-10 18:57:00,3420.0
342,3.6975640611170637,1.0995574280841098,0.0,-5830.449395264789,-1729.0523407158921,-3415.1027178498184,-28.786588813454095,-177.49167254014097,2022-11-10 18:57:10,3430.0
343,3.708344131271597,1.099557428085523,0.0,-5788.572882596949,-1757.6804314032056,-3471.099151059634,-29.31694030438684,-177.16269366923365,2022-11-10 18:57:20,3440.0
344,3.7191242014261303,1.0995574280869365,0.0,-5746.0165640185805,-1786.102094547839,-3526.686822432587,-29.846271876803993,-176.82984748720887,2022-11-10 18:57:30,3450.0
345,3.7299042715806614,1.0995574280869378,0.0,-5702.785450073265,-1814.3139963562735,-3581.859193978085,-30.374550226192813,-176.4930161299978,2022-11-10 18:57:40,3460.0
346,3.7406843417351947,1.099557428088352,0.0,-5658.884630332412,-1842.3128277870007,-3636.6097768375103,-30.901741033069563,-176.15207869823803,2022-11-10 18:57:50,3470.0
347,3.751464411889728,1.0995574280897646,0.0,-5614.319272782027,-1870.0953049336154,-3690.9321320373215,-31.427808920826564,-175.8069111563583,2022-11-10 18:58:00,3480.0
348,3.7622444820442613,1.0995574280911784,0.0,-5569.094623200596,-1897.658169404539,-3744.819871235646,-31.9527174118627,-175.45738622952334,2022-11-10 18:58:10,3490.0
349,3.7730245521987946,1.0995574280925924,0.0,-5523.216004528264,-1924.9981886995047,-3798.2666574623513,-32.4764288819247,-175.10337329850438,2022-11-10 18:58:20,3500.0
350,3.783804622353328,1.0995574280940057,0.0,-5476.688816227296,-1952.1121565827684,-3851.2662058526503,-32.99890451258575,-174.74473829255686,2022-11-10 18:58:30,3510.0
351,3.7945846925078612,1.099557428095418,0.0,-5429.518533634044,-1978.9968934529484,-3903.8122843739543,-33.5201042417877,-174.3813435804092,2022-11-10 18:58:40,3520.0
352,3.8053647626623923,1.0995574280954172,0.0,-5381.710707302379,-2005.6492467095022,-3955.8987145461147,-34.039986712367956,-174.01304785949057,2022-11-10 18:58:50,3530.0
353,3.8161448328169256,1.0995574280968317,0.0,-5333.2709623387955,-2032.0660911156942,-4007.519372154725,-34.55850921849519,-173.63970604355077,2022-11-10 18:59:00,3540.0
354,3.826924902971459,1.0995574280982454,0.0,-5284.20499772924,-2058.2443291582977,-4058.6681879577563,-35.07562764993201,-173.26116914885841,2022-11-10 18:59:10,3550.0
355,3.8377049731259922,1.0995574280996592,0.0,-5234.5185856577755,-2084.1808914036146,-4109.339148385103,-35.591296434046356,-172.87728417919212,2022-11-10 18:59:20,3560.0
356,3.8484850432805255,1.0995574281010718,0.0,-5184.217570817167,-2109.8727368500495,-4159.526296231174,-36.105468475488394,-172.4878940098822,2022-11-10 18:59:30,3570.0
